System,Training time (s),Scoring latency (ms/user),Model size,Catalog coverage @10 (%)
Popularity,0.0,0.01,list of item ids,2.2666666666666666
Random Forest,1.8734021186828613,1.9447937943881615,200 trees,6.666666666666667
Item-Item CF,0.027172327041625977,0.22500529325098023,"(1500, 1500)",24.0
Matrix Factorization (SVD),5.039847373962402,,20 latent factors,11.333333333333334
