Model,Recall@10_mean,Recall@10_CI95,NDCG@10_mean,NDCG@10_CI95
Random Forest,0.003838945189059606,"(0.0, 0.013303639533616567)",0.004306500415564741,"(0.0, 0.013747816998796467)"
Item-Item CF,5.4484036177400026e-05,"(0.0, 0.00016345210853220007)",0.00035634723447199544,"(0.0, 0.0010690417034159862)"
Matrix Factorization (SVD),0.003784461152882205,"(0.0, 0.013251879699248034)",0.003784461152882205,"(0.0, 0.013251879699248034)"
