Feature Set,Num Features,Test Recall@10,Test NDCG@10
All core features,18,0.01811087327922253,0.04714953069234811
Without pair history,14,0.015039344057023136,0.04015959228774849
Without customer RFM,10,0.01611895314349191,0.04350499409774697
Without item popularity,12,0.012779697939963027,0.03226681658124836
