Negative Sampling Ratio (N_neg),Dev Pairs Count,Positive Rate,Test Recall@10,Test NDCG@10
20,83664,0.6132147638171734,0.01676226421128393,0.05042662054836689
50,132204,0.3880669268705939,0.017466292558660317,0.04970221222753548
100,213104,0.24074630227494556,0.018443407427817568,0.050328406267569764
