Model,Recall@10_mean,Recall@10_ci_lower,Recall@10_ci_upper,NDCG@10_mean,NDCG@10_ci_lower,NDCG@10_ci_upper
Popularity,0.012779697939963027,0.010582881199413155,0.015379023016105818,0.03226681658124836,0.029002508878046715,0.035905265566418494
Random Forest,0.017466292558660317,0.015063311494497801,0.02026585814148045,0.04970221222753548,0.045401868923226674,0.054212405425645545
Item-Item CF,0.022921090467621162,0.01958142277534697,0.026168801477870367,0.056129016187354996,0.05066852646512231,0.061916197673525006
Matrix Factorization,0.025586530740856143,0.022686855184749246,0.028884068260319164,0.07315059588114853,0.06700055038479881,0.07930796907133215
