K,Precision@K,Recall@K,HitRate@K,MAP@K,NDCG@K,Model,ROC-AUC(pairs),PR-AUC(pairs)
5,0.047655748233782914,0.00818956067432919,0.18882466281310212,0.025938771141083283,0.04894904747270287,Random Forest,0.908611970634047,0.8702034098173391
10,0.04804110468850353,0.017466292558660317,0.3050738599871548,0.01907620219999796,0.04970221222753548,Random Forest,0.908611970634047,0.8702034098173391
20,0.04566473988439306,0.03381261884750212,0.45022479126525367,0.014675502479392526,0.0512540297111251,Random Forest,0.908611970634047,0.8702034098173391
