Feature Set,Num Features,Test Recall@10,Test NDCG@10,Test Precision@10
All core features,18,0.017466292558660317,0.04970221222753548,0.04804110468850353
Without pair history,14,0.014913793928736402,0.03779654199402157,0.03628773281952473
Without customer RFM,10,0.016135792867538787,0.04631456757432782,0.04431599229287091
Without item popularity,12,0.012779697939963027,0.03226681658124836,0.028002569043031472
