Model,Recall@10_mean,Recall@10_CI95,NDCG@10_mean,NDCG@10_CI95
Random Forest,0.0857694140586531,"(0.07080913028097065, 0.09891670878197496)",0.08838631663916297,"(0.07520096109955778, 0.09957863984770593)"
Item-Item CF,0.11581576767838188,"(0.09896970905017916, 0.13281807980857593)",0.11083709185159075,"(0.09602525475346545, 0.12466421928874322)"
Matrix Factorization (SVD),0.06460098265458453,"(0.05418677004474639, 0.07572953593267424)",0.0557754414051005,"(0.04629427835550155, 0.06463948822393065)"
