threshold,coverage,selective_error
0.3,0.9981412639405205,0.47423960273122284
0.4,0.9070631970260223,0.4576502732240437
0.5,0.6604708798017348,0.39305816135084426
0.6,0.45229244114002476,0.35342465753424657
0.7,0.30855018587360594,0.30120481927710846
0.75,0.2589838909541512,0.2822966507177033
0.8,0.21561338289962825,0.27873563218390807
0.9,0.1734820322180917,0.2571428571428571
