model,accuracy_mean,macro_f1_mean,macro_f1_sd,weighted_f1_mean,cv_time_seconds
LogisticRegression_extension,0.5057334318087655,0.4925802524205207,0.016681986654942353,0.5012399546894442,0.3474639020000154
CategoricalNB_mixed,0.5094503990056383,0.4845234483606647,0.010114826779852539,0.49383669106485445,0.20628661000000648
BernoulliNB,0.5030994541819033,0.48007255378634,0.008721260806149654,0.4891045626783007,0.2133936339999991
ComplementNB_extension,0.48233638967449066,0.413420816087239,0.008141432901646532,0.4266504394636562,0.2110233249999851
GaussianNB_numeric_only,0.4202048769357328,0.3718939796519895,0.011872405310384327,0.382896542432801,0.1028385899999762
Dummy_most_frequent,0.2810659365073646,0.10970001551744835,7.594294421330224e-05,0.12333181094493591,0.17916478099999722
