mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.010022497177124024,0.0006200004366181112,0.003206777572631836,0.0003984423845469593,0.005,entropy,6,4,10,"{'ccp_alpha': 0.005, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9618163054695562,0.9589783281733746,0.9176986584107327,0.9414344685242517,0.903250773993808,0.9366357069143447,0.02293228699213742,1
0.0098236083984375,0.0006695853153583658,0.0032997608184814455,0.0006794736324040444,0.005,entropy,5,4,10,"{'ccp_alpha': 0.005, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9618163054695562,0.9589783281733746,0.9176986584107327,0.9414344685242517,0.903250773993808,0.9366357069143447,0.02293228699213742,1
0.011980676651000976,0.002935447859157754,0.004078006744384766,0.0021473904541608785,0.0,entropy,5,4,10,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9618163054695562,0.9589783281733746,0.9176986584107327,0.9414344685242517,0.903250773993808,0.9366357069143447,0.02293228699213742,1
0.009398937225341797,0.0008710902003883292,0.0029743671417236327,0.0005160378916081737,0.0,entropy,6,4,10,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9618163054695562,0.9589783281733746,0.9176986584107327,0.9414344685242517,0.903250773993808,0.9366357069143447,0.02293228699213742,1
0.00943136215209961,0.00022397975788434693,0.002901506423950195,0.00019322942005209446,0.01,entropy,5,4,10,"{'ccp_alpha': 0.01, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9618163054695562,0.9589783281733746,0.9176986584107327,0.9414344685242517,0.903250773993808,0.9366357069143447,0.02293228699213742,1
0.009626960754394532,0.0004902851300985382,0.0033063411712646483,0.00040179447168530835,0.01,entropy,6,4,10,"{'ccp_alpha': 0.01, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9618163054695562,0.9589783281733746,0.9176986584107327,0.9414344685242517,0.903250773993808,0.9366357069143447,0.02293228699213742,1
0.009708738327026368,0.0004047826400939341,0.002807474136352539,0.0005139205378066711,0.01,entropy,5,4,2,"{'ccp_alpha': 0.01, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.947110423116615,0.9589783281733746,0.9176986584107327,0.9414344685242517,0.903250773993808,0.9336945304437563,0.02030691248916215,7
0.009416151046752929,0.0004880016194895308,0.002803659439086914,0.00023971987366238828,0.01,entropy,5,4,5,"{'ccp_alpha': 0.01, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.947110423116615,0.9589783281733746,0.9176986584107327,0.9414344685242517,0.903250773993808,0.9336945304437563,0.02030691248916215,7
0.010311698913574219,0.0002508209956938249,0.003105020523071289,0.00020798080120223677,0.005,entropy,5,4,5,"{'ccp_alpha': 0.005, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.947110423116615,0.9589783281733746,0.9176986584107327,0.9414344685242517,0.903250773993808,0.9336945304437563,0.02030691248916215,7
0.012527799606323243,0.004447542091945266,0.003705883026123047,0.0011696889611159816,0.01,entropy,6,4,2,"{'ccp_alpha': 0.01, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.947110423116615,0.9589783281733746,0.9176986584107327,0.9414344685242517,0.903250773993808,0.9336945304437563,0.02030691248916215,7
