mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0040891170501708984,0.0005655180944538774,0.003001499176025391,0.0005277667917472012,0.02,entropy,4,4,10,"{'ccp_alpha': 0.02, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8770903010033444,0.771043771043771,0.7097902097902098,0.7220279720279721,0.7342657342657343,0.7628435976262062,0.060690730107197784,1
0.004419994354248047,0.00020855820529323385,0.0033001422882080076,0.0002480931724151286,0.02,entropy,4,4,5,"{'ccp_alpha': 0.02, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8770903010033444,0.771043771043771,0.7097902097902098,0.7220279720279721,0.7342657342657343,0.7628435976262062,0.060690730107197784,1
0.004296636581420899,0.0008141747480698094,0.002890777587890625,0.000566763787984526,0.02,entropy,4,4,2,"{'ccp_alpha': 0.02, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8770903010033444,0.771043771043771,0.7097902097902098,0.7220279720279721,0.7342657342657343,0.7628435976262062,0.060690730107197784,1
0.004134082794189453,0.00048152353041903625,0.003511667251586914,0.0005553290664853789,0.0,gini,6,1,10,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8528428093645486,0.7154882154882155,0.7867132867132867,0.8059440559440559,0.6451048951048951,0.7612186525230002,0.07296437724498213,4
0.005199289321899414,0.0011658775254991586,0.0038559436798095703,0.0019154815432186516,0.005,gini,6,1,10,"{'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8528428093645486,0.7154882154882155,0.7867132867132867,0.8059440559440559,0.6451048951048951,0.7612186525230002,0.07296437724498213,4
0.0048789501190185545,0.0003274473922303862,0.0031029701232910155,0.00020692757103493115,0.0,gini,6,1,2,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8720735785953178,0.6843434343434344,0.770979020979021,0.7482517482517483,0.7220279720279721,0.7595351508394986,0.06321986673744821,6
0.004374790191650391,0.0003969217079907753,0.003191709518432617,0.0002385862714403931,0.0,entropy,4,4,2,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8026755852842808,0.7525252525252526,0.7097902097902098,0.7412587412587412,0.7762237762237763,0.7564947130164521,0.03146779614799594,7
0.004107904434204101,0.0006690916816331089,0.0028284549713134765,0.0006937116982099284,0.0,entropy,4,4,10,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8026755852842808,0.7525252525252526,0.7097902097902098,0.7412587412587412,0.7762237762237763,0.7564947130164521,0.03146779614799594,7
0.005213642120361328,0.00024852113173916024,0.0033090591430664064,0.00040051044034853555,0.01,entropy,4,4,10,"{'ccp_alpha': 0.01, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8026755852842808,0.7525252525252526,0.7097902097902098,0.7412587412587412,0.7762237762237763,0.7564947130164521,0.03146779614799594,7
0.005250978469848633,0.00045179162979389726,0.003915262222290039,0.0003744398632755756,0.01,entropy,4,4,5,"{'ccp_alpha': 0.01, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8026755852842808,0.7525252525252526,0.7097902097902098,0.7412587412587412,0.7762237762237763,0.7564947130164521,0.03146779614799594,7
