Model Name,Accuracy,Recall (Sensitivity),Precision,F1-Score,ROC-AUC Score,Brier Loss Score
Baseline (Dummy),0.3607,0.25,0.28,0.2642,0.3523,0.6393
Basic Decision Tree,0.7869,0.8929,0.7143,0.7937,0.7949,0.2131
Tuned Decision Tree,0.8361,0.7857,0.8462,0.8148,0.8528,0.1566
Random Forest,0.8689,0.9286,0.8125,0.8667,0.9535,0.0974
