Location,Model,MAE,RMSE
12,AR(7),3.250980019297342,3.9768861238378768
12,"ARIMA(1, 0, 0)",3.6089768010903738,4.407465607872679
12,Naive,6.142857142857143,7.319250547113999
8,Naive,7.785714285714286,9.779716618739888
8,AR(7),5.903403540814117,7.407364787188166
8,"ARIMA(1, 0, 0)",5.758408281842715,7.337642448100079
