Model,MAE,RMSE,Negative_Forecasts
"Plain ARIMA(1, 0, 0)",3.6089768010903738,4.407465607872679,0
"Log1p-ARIMA(1, 0, 0)",3.6848700435345356,4.420723289040003,0
