Model,MAE,RMSE,AIC
"ARIMA(1, 0, 0)",3.6089768010903738,4.407465607872679,1471.7318463248334
"SARIMA(1, 0, 0)x(1,0,1,7)",3.074181056914452,3.5548131410796855,1419.8986436259904
