fold,origin_date,AR_MAE,ARIMA_MAE,AR_RMSE,ARIMA_RMSE
1,2026-07-19,2.2741963794227824,2.793218966308037,2.955086505313231,3.6657787162586555
2,2026-07-26,3.0133421968613767,2.957113441078165,3.915019268034334,3.8461454109736635
3,2026-08-02,3.433525131556485,3.511429373912678,4.646720706480703,4.7460729097671255
