order,aic,bic
"(1, 0, 0)",1471.7318463248334,1482.136026748239
"(1, 1, 1)",1471.831800804936,1482.2232962200128
"(2, 0, 0)",1473.2067148698397,1487.0789554343803
"(2, 1, 1)",1473.4007266363355,1487.256053856438
"(1, 1, 0)",1559.4399311577217,1566.367594767773
