model,accuracy_mean,macro_f1_mean,macro_f1_sd,weighted_f1_mean,cv_time_seconds
CategoricalNB_mixed,0.5094503990056383,0.4845234483606647,0.010114826779852539,0.49383669106485445,0.20476538900000207
BernoulliNB,0.5030994541819033,0.48007255378634,0.008721260806149654,0.4891045626783007,0.21825259999999957
GaussianNB_numeric_only,0.4202048769357328,0.3718939796519895,0.011872405310384327,0.382896542432801,0.10411604899999816
Dummy_most_frequent,0.2810659365073646,0.10970001551744835,7.594294421330224e-05,0.12333181094493591,0.19219159899999738
