Borough,n_periods,mean_weekly,std_weekly,Naive_MAE,AR_MAE,ARIMA_MAE
BROOKLYN,87,2350.3333333333335,112.22161076406192,117.5,45.70829703574922,128.36058889039194
MANHATTAN,87,1754.528735632184,83.85852414417153,45.166666666666664,50.428279686411564,43.77442203077171
BRONX,87,1618.7241379310344,81.85064243119511,37.166666666666664,61.065104187921314,38.11789153756255
QUEENS,87,1328.2413793103449,65.68033324229992,38.5,37.277277449637914,36.086458392397766
STATEN ISLAND,87,292.86206896551727,22.325901327565965,12.166666666666666,13.743181584402322,12.461850233592202
