fold,origin_date,AR_MAE,ARIMA_MAE,AR_RMSE,ARIMA_RMSE
1,2026-02-16,106.50418233905589,63.12542089191754,120.07526353025851,72.62159229099983
2,2026-03-16,85.14336020506857,42.4031700355481,103.24541090199557,55.93908652526051
3,2026-04-13,53.86175898747604,44.40803952095496,69.16784153266374,55.195959718433336
4,2026-05-11,117.66630500447718,70.97512692362989,126.81606543603333,84.60399668377869
