Location,Model,MAE,RMSE
BROOKLYN,AR(4),45.70829703574922,60.54952000302118
BROOKLYN,Naive,117.5,125.95303357468873
BROOKLYN,"ARIMA(2, 1, 2)",128.36058889039194,141.95671055741093
MANHATTAN,Naive,45.166666666666664,51.1729094997213
MANHATTAN,AR(4),50.428279686411564,68.85104010736784
MANHATTAN,"ARIMA(2, 1, 2)",43.77442203077171,52.34930004305185
